,Postcode,Borough,Street,Latitude,Longitude,Coordinates,Clusters
2032,00-695,Śródmieście,ul. Nowogrodzka,52.2279,21.0082,"52.2279, 21.0082",34
2033,00-146,Śródmieście,ul. Nowolipie,52.245,20.9975,"52.245, 20.9975",32
2034,00-150,Śródmieście,ul. Nowolipie,52.2442,20.9948,"52.2442, 20.9948",32
2035,00-151,Śródmieście,ul. Nowolipki,52.2454,20.9947,"52.2454, 20.9947",32
2036,00-271,Śródmieście,ul. Nowomiejska,52.2502,21.011,"52.2502, 21.011",37
2037,00-643,Śródmieście,ul. Nowowiejska,52.2198,21.0146,"52.2198, 21.0146",34
2038,00-653,Śródmieście,ul. Nowowiejska,52.2202,21.0126,"52.2202, 21.0126",34
2039,00-665,Śródmieście,ul. Nowowiejska,52.2199,21.0077,"52.2199, 21.0077",34
2040,00-649,Śródmieście,ul. Nowowiejska,52.22,21.0165,"52.22, 21.0165",35
2041,00-029,Śródmieście,ul. Nowy Świat,52.2331,21.0193,"52.2331, 21.0193",36
2042,00-373,Śródmieście,ul. Nowy Świat,52.233000000000004,21.0201,"52.233000000000004, 21.0201",36
2043,00-497,Śródmieście,ul. Nowy Świat,52.2304,21.0221,"52.2304, 21.0221",35
2044,00-363,Śródmieście,ul. Nowy Świat,52.2347,21.019000000000002,"52.2347, 21.019000000000002",36
2045,00-042,Śródmieście,ul. Nowy Świat,52.2355,21.0181,"52.2355, 21.0181",36
2046,00-357,Śródmieście,ul. Nowy Świat,52.2364,21.0183,"52.2364, 21.0183",36
2047,00-046,Śródmieście,ul. Nowy Świat,52.2375,21.0176,"52.2375, 21.0176",36
2048,00-330,Śródmieście,ul. Nowy Świat,52.2376,21.018,"52.2376, 21.018",36
2049,00-301,Śródmieście,ul. Nowy Zjazd,52.2473,21.0191,"52.2473, 21.0191",37
2050,00-340,Śródmieście,ul. Oboźna,52.2396,21.023000000000003,"52.2396, 21.023000000000003",36
2051,00-332,Śródmieście,ul. Oboźna,52.2391,21.0203,"52.2391, 21.0203",36
2052,00-368,Śródmieście,ul. Okólnik,52.2357,21.022,"52.2357, 21.022",36
2053,00-415,Śródmieście,ul. Okrąg,52.2299,21.0358,"52.2299, 21.0358",35
2054,00-407,Śródmieście,ul. Okrąg,52.231,21.0369,"52.231, 21.0369",35
2055,00-423,Śródmieście,ul. Okrąg,52.2295,21.0363,"52.2295, 21.0363",35
2056,00-629,Śródmieście,ul. Oleandrów,52.2168,21.0185,"52.2168, 21.0185",35
2057,00-358,Śródmieście,ul. Ordynacka,52.2359,21.0192,"52.2359, 21.0192",36
2058,00-364,Śródmieście,ul. Ordynacka,52.2357,21.0195,"52.2357, 21.0195",36
2059,00-143,Śródmieście,ul. Orla,52.2423,20.9989,"52.2423, 20.9989",32
2060,00-072,Śródmieście,ul. Ossolińskich,52.2422,21.0145,"52.2422, 21.0145",37
2061,00-485,Śródmieście,ul. P. Maszyńskiego,52.2248,21.0296,"52.2248, 21.0296",35
2062,00-164,Śródmieście,ul. Pawia,52.2472,20.9913,"52.2472, 20.9913",32
2063,00-264,Śródmieście,ul. Piekarska,52.2486,21.0112,"52.2486, 21.0112",37
2064,00-230,Śródmieście,ul. Piesza,52.2538,21.0095,"52.2538, 21.0095",37
2065,00-477,Śródmieście,ul. Piękna,52.2239,21.0267,"52.2239, 21.0267",35
2066,00-549,Śródmieście,ul. Piękna,52.2235,21.0188,"52.2235, 21.0188",35
2067,00-539,Śródmieście,ul. Piękna,52.2239,21.022,"52.2239, 21.022",35
2068,00-482,Śródmieście,ul. Piękna,52.2242,21.0257,"52.2242, 21.0257",35
2069,00-547,Śródmieście,ul. Piękna,52.2237,21.0171,"52.2237, 21.0171",35
2070,00-677,Śródmieście,ul. Piękna,52.223,21.0141,"52.223, 21.0141",34
2071,00-672,Śródmieście,ul. Piękna,52.223,21.0114,"52.223, 21.0114",34
2072,00-265,Śródmieście,ul. Piwna,52.2488,21.0119,"52.2488, 21.0119",37
2073,00-252,Śródmieście,ul. Podwale,52.2481,21.0105,"52.2481, 21.0105",37
2074,00-261,Śródmieście,ul. Podwale,52.2501,21.0095,"52.2501, 21.0095",37
2075,00-199,Śródmieście,ul. Pokorna,52.2545,20.9936,"52.2545, 20.9936",32
2076,00-622,Śródmieście,ul. Polna,52.2144,21.0201,"52.2144, 21.0201",35
2077,00-625,Śródmieście,ul. Polna,52.2156,21.0183,"52.2156, 21.0183",35
2078,00-633,Śródmieście,ul. Polna,52.2173,21.0155,"52.2173, 21.0155",35
2079,00-635,Śródmieście,ul. Polna,52.2183,21.0143,"52.2183, 21.0143",34
2080,00-630,Śródmieście,ul. Polna,52.2165,21.0175,"52.2165, 21.0175",35
2081,00-644,Śródmieście,ul. Polna,52.2193,21.0137,"52.2193, 21.0137",34
2082,00-680,Śródmieście,ul. Poznańska,52.2252,21.0121,"52.2252, 21.0121",34
2083,00-685,Śródmieście,ul. Poznańska,52.2264,21.0113,"52.2264, 21.0113",34
2084,00-689,Śródmieście,ul. Poznańska,52.2288,21.01,"52.2288, 21.01",34
2085,00-433,Śródmieście,ul. Profesorska,52.2241,21.0325,"52.2241, 21.0325",35
2086,00-107,Śródmieście,ul. Próżna,52.2365,21.005,"52.2365, 21.005",34
2087,00-450,Śródmieście,ul. Przemysłowa,52.223,21.037,"52.223, 21.037",35
2088,00-032,Śródmieście,ul. Przeskok,52.2332,21.0139,"52.2332, 21.0139",36
2089,00-219,Śródmieście,ul. Przyrynek,52.2549,21.0082,"52.2549, 21.0082",37
2090,00-222,Śródmieście,ul. R. Sanguszki,52.2566,21.0073,"52.2566, 21.0073",37
2091,00-067,Śródmieście,ul. R. Traugutta,52.239,21.0146,"52.239, 21.0146",36
2092,00-341,Śródmieście,ul. Radna,52.2409,21.024,"52.2409, 21.024",36
2093,00-220,Śródmieście,ul. Rajców,52.2551,21.0088,"52.2551, 21.0088",37
2094,00-614,Śródmieście,ul. Rektorska,52.2185,21.0099,"52.2185, 21.0099",34
2095,00-451,Śródmieście,ul. Rozbrat,52.2227,21.0358,"52.2227, 21.0358",35
2096,00-447,Śródmieście,ul. Rozbrat,52.2243,21.035,"52.2243, 21.035",35
2097,00-429,Śródmieście,ul. Rozbrat,52.2258,21.0346,"52.2258, 21.0346",35
2098,00-419,Śródmieście,ul. Rozbrat,52.2272,21.0331,"52.2272, 21.0331",35
2099,00-221,Śródmieście,ul. Rybaki,52.2545,21.0103,"52.2545, 21.0103",37
2100,00-254,Śródmieście,ul. Rycerska,52.2487,21.0106,"52.2487, 21.0106",37
2101,00-005,Śródmieście,ul. Rysia,52.2363,21.0085,"52.2363, 21.0085",36
2102,00-188,Śródmieście,ul. S. Dubois,52.2524,20.993000000000002,"52.2524, 20.993000000000002",32
2103,00-196,Śródmieście,ul. S. Dubois,52.2513,20.9963,"52.2513, 20.9963",32
2104,00-184,Śródmieście,ul. S. Dubois,52.2512,20.9946,"52.2512, 20.9946",32
2105,00-182,Śródmieście,ul. S. Dubois,52.2525,20.9919,"52.2525, 20.9919",32
2106,00-378,Śródmieście,ul. S. Jaracza,52.2369,21.0322,"52.2369, 21.0322",35
2107,00-014,Śródmieście,ul. S. Moniuszki,52.235,21.0126,"52.235, 21.0126",36
2108,00-038,Śródmieście,ul. S. Moniuszki,52.2352,21.0124,"52.2352, 21.0124",36
2109,00-666,Śródmieście,ul. S. Noakowskiego,52.2211,21.0108,"52.2211, 21.0108",34
2110,00-668,Śródmieście,ul. S. Noakowskiego,52.2221,21.0093,"52.2221, 21.0093",34
2111,00-664,Śródmieście,ul. S. Noakowskiego,52.2222,21.0089,"52.2222, 21.0089",34
2112,00-620,Śródmieście,ul. S. Rychlińskiego,52.2131,21.0088,"52.2131, 21.0088",34
2113,00-574,Śródmieście,ul. S. Sempołowskiej,52.218999999999994,21.0207,"52.218999999999994, 21.0207",35
2114,00-578,Śródmieście,ul. S. Sempołowskiej,52.2189,21.0198,"52.2189, 21.0198",35
2115,00-215,Śródmieście,ul. Sapieżyńska,52.2534,21.0022,"52.2534, 21.0022",37
2116,00-487,Śródmieście,ul. Senacka,52.2263,21.0274,"52.2263, 21.0274",35
2117,00-075,Śródmieście,ul. Senatorska,52.2464,21.0125,"52.2464, 21.0125",37
2118,00-082,Śródmieście,ul. Senatorska,52.2449,21.0101,"52.2449, 21.0101",37
2119,00-331,Śródmieście,ul. Sewerynów,52.2384,21.0211,"52.2384, 21.0211",36
2120,00-121,Śródmieście,ul. Sienna,52.2317,21.000999999999998,"52.2317, 21.000999999999998",34
2121,00-569,Śródmieście,ul. Służewska,52.2204,21.0225,"52.2204, 21.0225",35
2122,00-375,Śródmieście,ul. Smolna,52.2332,21.0239,"52.2332, 21.0239",36
2123,00-382,Śródmieście,ul. Solec,52.2364,21.0298,"52.2364, 21.0298",35
2124,00-410,Śródmieście,ul. Solec,52.2326,21.0384,"52.2326, 21.0384",35
2125,00-403,Śródmieście,ul. Solec,52.2337,21.035999999999998,"52.2337, 21.035999999999998",35
2126,00-394,Śródmieście,ul. Solec,52.2356,21.0329,"52.2356, 21.0329",35
2127,00-438,Śródmieście,ul. Solec,52.2278,21.0414,"52.2278, 21.0414",35
2128,00-424,Śródmieście,ul. Solec,52.2311,21.0401,"52.2311, 21.0401",35
2129,00-409,Śródmieście,ul. Solec,52.2319,21.0384,"52.2319, 21.0384",35
2130,00-402,Śródmieście,ul. Solec,52.2334,21.0353,"52.2334, 21.0353",35
2131,00-439,Śródmieście,ul. Solec,52.2271,21.0431,"52.2271, 21.0431",35
2132,00-318,Śródmieście,ul. Sowia,52.2455,21.0181,"52.2455, 21.0181",37
2133,00-592,Śródmieście,ul. Spacerowa,52.2087,21.0271,"52.2087, 21.0271",45
2134,00-231,Śródmieście,ul. Stara,52.2525,21.0099,"52.2525, 21.0099",37
2135,00-193,Śródmieście,ul. Stawki,52.2538,20.993000000000002,"52.2538, 20.993000000000002",32
2136,00-178,Śródmieście,ul. Stawki,52.2522,20.9883,"52.2522, 20.9883",32
2137,00-183,Śródmieście,ul. Stawki,52.2526,20.9905,"52.2526, 20.9905",32
2138,00-420,Śródmieście,ul. Szara,52.2276,21.0343,"52.2276, 21.0343",35
2139,00-255,Śródmieście,ul. Szeroki Dunaj,52.2498,21.0102,"52.2498, 21.0102",37
2140,00-006,Śródmieście,ul. Szkolna,52.2362,21.0093,"52.2362, 21.0093",36
2141,00-031,Śródmieście,ul. Szpitalna,52.2331,21.0151,"52.2331, 21.0151",36
2142,00-464,Śródmieście,ul. Szwoleżerów,52.2163,21.0421,"52.2163, 21.0421",46
2143,00-127,Śródmieście,ul. Śliska,52.2323,21.0009,"52.2323, 21.0009",34
2144,00-686,Śródmieście,ul. św. Barbary,52.2272,21.0097,"52.2272, 21.0097",34
2145,00-392,Śródmieście,ul. św. Franciszka Salezego,52.2358,21.0341,"52.2358, 21.0341",35
2146,00-566,Śródmieście,ul. św. Teresy,52.2209,21.0235,"52.2209, 21.0235",35
2147,00-288,Śródmieście,ul. Świętojańska,52.2487,21.0132,"52.2487, 21.0132",37
2148,00-266,Śródmieście,ul. Świętojańska,52.2487,21.0129,"52.2487, 21.0129",37
2149,00-236,Śródmieście,ul. Świętojerska,52.251000000000005,21.0062,"52.251000000000005, 21.0062",37
2150,00-202,Śródmieście,ul. Świętojerska,52.2503,21.0007,"52.2503, 21.0007",37
2151,00-360,Śródmieście,ul. Świętokrzyska,52.2371,21.0187,"52.2371, 21.0187",36
2152,00-049,Śródmieście,ul. Świętokrzyska,52.2356,21.0112,"52.2356, 21.0112",36
2153,00-044,Śródmieście,ul. Świętokrzyska,52.2376,21.016,"52.2376, 21.016",36
2154,00-050,Śródmieście,ul. Świętokrzyska,52.2365,21.0135,"52.2365, 21.0135",36
2155,00-002,Śródmieście,ul. Świętokrzyska,52.2357,20.9539,"52.2357, 20.9539",22
2156,00-621,Śródmieście,ul. T. Boya-Żeleńskiego,52.2135,21.0192,"52.2135, 21.0192",35
2157,00-613,Śródmieście,ul. T. Chałubińskiego,52.2238,21.0047,"52.2238, 21.0047",34
2158,00-694,Śródmieście,ul. T. Chałubińskiego,52.2259,21.0038,"52.2259, 21.0038",34
2159,00-043,Śródmieście,ul. T. Czackiego,52.2376,21.0148,"52.2376, 21.0148",36
2160,00-089,Śródmieście,ul. T. Gamerskiego,52.2439,21.005,"52.2439, 21.005",37
2161,00-349,Śródmieście,ul. Tamka,52.2384,21.0284,"52.2384, 21.0284",35
2162,00-385,Śródmieście,ul. Tamka,52.2377,21.0275,"52.2377, 21.0275",36
2163,00-355,Śródmieście,ul. Tamka,52.2367,21.0235,"52.2367, 21.0235",36
2164,00-088,Śródmieście,ul. Tłomackie,52.2443,21.0027,"52.2443, 21.0027",37
2165,00-342,Śródmieście,ul. Topiel,52.2391,21.0241,"52.2391, 21.0241",36
2166,00-350,Śródmieście,ul. Topiel,52.2379,21.0261,"52.2379, 21.0261",36
2167,00-074,Śródmieście,ul. Trębacka,52.2435,21.0134,"52.2435, 21.0134",37
2168,00-114,Śródmieście,ul. Twarda,52.2346,21.0006,"52.2346, 21.0006",34
2169,00-105,Śródmieście,ul. Twarda,52.2351,21.0005,"52.2351, 21.0005",34
2170,00-033,Śródmieście,ul. W. Górskiego,52.2338,21.0163,"52.2338, 21.0163",36
2171,00-211,Śródmieście,ul. Wałowa,52.2517,21.0001,"52.2517, 21.0001",37
2172,00-034,Śródmieście,ul. Warecka,52.2351,21.0165,"52.2351, 21.0165",36
2173,00-040,Śródmieście,ul. Warecka,52.2353,21.0165,"52.2353, 21.0165",36
2174,00-268,Śródmieście,ul. Wąski Dunaj,52.2495,21.0106,"52.2495, 21.0106",37
2175,00-256,Śródmieście,ul. Wąski Dunaj,52.2494,21.0105,"52.2494, 21.0105",37
2176,00-223,Śródmieście,ul. Wenedów,52.2585,21.0051,"52.2585, 21.0051",37
2177,00-023,Śródmieście,ul. Widok,52.2313,21.0141,"52.2313, 21.0141",36
2178,00-489,Śródmieście,ul. Wiejska,52.225,21.0272,"52.225, 21.0272",35
2179,00-480,Śródmieście,ul. Wiejska,52.2264,21.025,"52.2264, 21.025",35
2180,00-490,Śródmieście,ul. Wiejska,52.2268,21.0251,"52.2268, 21.0251",35
2181,00-479,Śródmieście,ul. Wiejska,52.2273,21.0242,"52.2273, 21.0242",35
2182,00-094,Śródmieście,ul. Wierzbowa,52.2431,21.0092,"52.2431, 21.0092",37
2183,00-422,Śródmieście,ul. Wilanowska,52.2302,21.0385,"52.2302, 21.0385",35
2184,00-532,Śródmieście,ul. Wilcza,52.2261,21.0206,"52.2261, 21.0206",35
2185,00-544,Śródmieście,ul. Wilcza,52.2251,21.0169,"52.2251, 21.0169",34
2186,00-678,Śródmieście,ul. Wilcza,52.2243,21.0136,"52.2243, 21.0136",34
2187,00-679,Śródmieście,ul. Wilcza,52.2239,21.0108,"52.2239, 21.0108",34
2188,00-670,Śródmieście,ul. Wilcza,52.2232,21.0076,"52.2232, 21.0076",34
2189,00-411,Śródmieście,ul. Wioślarska,52.2333,21.0396,"52.2333, 21.0396",35
2190,00-317,Śródmieście,ul. Wiślana,52.2421,21.0225,"52.2421, 21.0225",36
2191,00-224,Śródmieście,ul. Wójtowska,52.2547,21.005,"52.2547, 21.005",37
2192,00-529,Śródmieście,ul. Wspólna,52.228,21.0202,"52.228, 21.0202",35
2193,00-505,Śródmieście,ul. Wspólna,52.2286,21.02,"52.2286, 21.02",35
2194,00-519,Śródmieście,ul. Wspólna,52.2274,21.0156,"52.2274, 21.0156",34
2195,00-684,Śródmieście,ul. Wspólna,52.2268,21.0114,"52.2268, 21.0114",34
2196,00-687,Śródmieście,ul. Wspólna,52.2259,21.0082,"52.2259, 21.0082",34
2197,00-390,Śródmieście,ul. Wybrzeże Kościuszkowskie,52.2378,21.0329,"52.2378, 21.0329",35
2198,00-379,Śródmieście,ul. Wybrzeże Kościuszkowskie,52.2382,21.0319,"52.2382, 21.0319",35
2199,00-347,Śródmieście,ul. Wybrzeże Kościuszkowskie,52.2413,21.028000000000002,"52.2413, 21.028000000000002",36
2200,00-204,Śródmieście,ul. Z. Słomińskiego,52.2583,20.9959,"52.2583, 20.9959",37
2201,00-195,Śródmieście,ul. Z. Słomińskiego,52.2562,20.989,"52.2562, 20.989",32
2202,00-441,Śródmieście,ul. Zagórna,52.2267,21.041,"52.2267, 21.041",35
2203,00-351,Śródmieście,ul. Zajęcza,52.239,21.0272,"52.239, 21.0272",36
2204,00-225,Śródmieście,ul. Zakroczymska,52.2546,21.0061,"52.2546, 21.0061",37
2205,00-018,Śródmieście,ul. Zgoda,52.2328,21.0134,"52.2328, 21.0134",36
2206,00-012,Śródmieście,ul. Zgoda,52.2335,21.0113,"52.2335, 21.0113",36
2207,00-108,Śródmieście,ul. Zielna,52.2365,21.0062,"52.2365, 21.0062",36
2208,00-019,Śródmieście,ul. Złota,52.2329,21.0118,"52.2329, 21.0118",36
2209,00-120,Śródmieście,ul. Złota,52.2308,21.002,"52.2308, 21.002",34
2210,00-515,Śródmieście,ul. Żurawia,52.2285,21.0154,"52.2285, 21.0154",36
2211,00-503,Śródmieście,ul. Żurawia,52.2293,21.0194,"52.2293, 21.0194",35
2212,03-504,Targówek,ul. 11 Listopada,52.2684,21.0399,"52.2684, 21.0399",26
2213,03-627,Targówek,ul. A. Brodowskiego,52.2881,21.0685,"52.2881, 21.0685",30
2214,03-562,Targówek,ul. A. Gajkowicza,52.273,21.0587,"52.273, 21.0587",31
2215,03-288,Targówek,ul. A. Kowalskiego,52.2966,21.0497,"52.2966, 21.0497",29
2216,03-599,Targówek,ul. A. Solińskiego,52.282,21.0561,"52.282, 21.0561",30
2217,03-680,Targówek,ul. Agatowa,52.2812,21.0781,"52.2812, 21.0781",30
2218,03-663,Targówek,ul. Agnieszki,52.2906,21.061999999999998,"52.2906, 21.061999999999998",30
2219,03-675,Targówek,ul. Amelińska,52.2783,21.0706,"52.2783, 21.0706",30
2220,03-642,Targówek,ul. Antygony,52.2918,21.0608,"52.2918, 21.0608",30
2221,03-681,Targówek,ul. Bajeczna,52.2812,21.0729,"52.2812, 21.0729",30
2222,03-329,Targówek,ul. Balkonowa,52.2855,21.0372,"52.2855, 21.0372",29
2223,03-543,Targówek,ul. Barkocińska,52.2685,21.0566,"52.2685, 21.0566",31
2224,03-358,Targówek,ul. Bartnicza,52.2872,21.026999999999997,"52.2872, 21.026999999999997",29
2225,03-383,Targówek,ul. Baryczków,52.2889,21.0188,"52.2889, 21.0188",29
2226,03-203,Targówek,ul. Bazyliańska,52.2922,21.0225,"52.2922, 21.0225",29
2227,03-874,Targówek,ul. Beczkowa,52.2613,21.0796,"52.2613, 21.0796",31
2228,03-606,Targówek,ul. Benedykta,52.286,21.059,"52.286, 21.059",30
2229,03-578,Targówek,ul. Bieżuńska,52.2717,21.0649,"52.2717, 21.0649",30
2230,03-780,Targówek,ul. Birżańska,52.2635,21.0609,"52.2635, 21.0609",31
2231,03-641,Targówek,ul. Blokowa,52.2872,21.064,"52.2872, 21.064",30
2232,03-604,Targówek,ul. Błażeja,52.2829,21.0615,"52.2829, 21.0615",30
2233,03-612,Targówek,ul. Błędowska,52.2799,21.066999999999997,"52.2799, 21.066999999999997",30
2234,03-619,Targówek,ul. Bogumińska,52.2816,21.0696,"52.2816, 21.0696",30
2235,03-325,Targówek,ul. Bolesławicka,52.2838,21.0311,"52.2838, 21.0311",29
2236,03-352,Targówek,ul. Bolesławicka,52.2875,21.029,"52.2875, 21.029",29
2237,03-377,Targówek,ul. Bolesławicka,52.2897,21.0265,"52.2897, 21.0265",29
2238,03-565,Targówek,ul. Borzymowska,52.2764,21.0476,"52.2764, 21.0476",31
2239,03-315,Targówek,ul. Budowlana,52.2809,21.0252,"52.2809, 21.0252",29
2240,03-676,Targówek,ul. Bukowiecka,52.2777,21.0723,"52.2777, 21.0723",30
2241,03-893,Targówek,ul. Bukowiecka,52.2709,21.0795,"52.2709, 21.0795",31
2242,03-650,Targówek,ul. Bystra,52.2923,21.0728,"52.2923, 21.0728",30
2243,03-697,Targówek,ul. Byszewska,52.2906,21.0816,"52.2906, 21.0816",30
2244,03-689,Targówek,ul. Chałupnicza,52.2849,21.0753,"52.2849, 21.0753",30
2245,03-781,Targówek,ul. Chemiczna,52.263000000000005,21.063000000000002,"52.263000000000005, 21.063000000000002",31
2246,03-658,Targówek,ul. Chmurna,52.2903,21.0682,"52.2903, 21.0682",30
2247,03-332,Targówek,ul. Chodecka,52.2878,21.0406,"52.2878, 21.0406",29
2248,03-350,Targówek,ul. Chodecka,52.2967,21.0423,"52.2967, 21.0423",29
2249,03-583,Targówek,ul. Chojnowska,52.2792,21.0642,"52.2792, 21.0642",30
2250,03-569,Targówek,ul. Chyrowska,52.2756,21.0499,"52.2756, 21.0499",31
2251,03-785,Targówek,ul. Ciemna,52.263999999999996,21.0667,"52.263999999999996, 21.0667",31
2252,03-524,Targówek,ul. Cmentarna,52.2737,21.0398,"52.2737, 21.0398",26
2253,03-534,Targówek,ul. Cmentarna,52.2744,21.0372,"52.2744, 21.0372",26
2254,03-607,Targówek,ul. Codzienna,52.2861,21.0634,"52.2861, 21.0634",30
2255,03-668,Targówek,ul. Codzienna,52.2888,21.0621,"52.2888, 21.0621",30
2256,03-620,Targówek,ul. Czarna Droga,52.284,21.0684,"52.284, 21.0684",30
2257,03-661,Targówek,ul. Czerwińska,52.2896,21.0621,"52.2896, 21.0621",30
2258,03-566,Targówek,ul. Dalanowska,52.2757,21.0476,"52.2757, 21.0476",31
2259,03-673,Targówek,ul. Deszczowa,52.2761,21.0711,"52.2761, 21.0711",30
2260,03-682,Targówek,ul. Diamentowa,52.2818,21.0812,"52.2818, 21.0812",30
2261,03-610,Targówek,ul. Don Kichota,52.2854,21.0583,"52.2854, 21.0583",30
2262,03-581,Targówek,ul. Drapińska,52.2776,21.0653,"52.2776, 21.0653",30
2263,03-609,Targówek,ul. Dyngus,52.2835,21.0675,"52.2835, 21.0675",30
2264,03-793,Targówek,ul. Dziewanny,52.2659,21.070999999999998,"52.2659, 21.070999999999998",31
2265,03-876,Targówek,ul. Dźwińska,52.2612,21.0833,"52.2612, 21.0833",31
2266,03-341,Targówek,ul. F. Groëra,52.2877,21.0444,"52.2877, 21.0444",29
2267,03-580,Targówek,ul. Fantazyjna,52.2767,21.0618,"52.2767, 21.0618",30
2268,03-596,Targówek,ul. G. Reichera,52.284,21.0562,"52.284, 21.0562",30
2269,03-614,Targówek,ul. Gdyńska,52.281000000000006,21.0671,"52.281000000000006, 21.0671",30
2270,03-664,Targówek,ul. Gibraltarska,52.2886,21.064,"52.2886, 21.064",30
2271,03-589,Targówek,ul. Gilarska,52.2795,21.0568,"52.2795, 21.0568",30
2272,03-608,Targówek,ul. Gliwicka,52.2839,21.0662,"52.2839, 21.0662",30
2273,03-637,Targówek,ul. Gniazdowska,52.2875,21.0715,"52.2875, 21.0715",30
2274,03-550,Targówek,ul. Goławicka,52.2706,21.0565,"52.2706, 21.0565",31
2275,03-662,Targówek,ul. Gołębia,52.288999999999994,21.0619,"52.288999999999994, 21.0619",30
2276,03-552,Targówek,ul. Gorzykowska,52.2696,21.058000000000003,"52.2696, 21.058000000000003",31
2277,03-535,Targówek,ul. Gościeradowska,52.273,21.0444,"52.273, 21.0444",26
2278,03-353,Targówek,ul. Goworowska,52.2889,21.0261,"52.2889, 21.0261",29
2279,03-363,Targówek,ul. Goworowska,52.2879,21.0266,"52.2879, 21.0266",29
2280,03-792,Targówek,ul. Grobelska,52.266000000000005,21.0675,"52.266000000000005, 21.0675",31
2281,03-659,Targówek,ul. H. Krahelskiej,52.2902,21.0648,"52.2902, 21.0648",30
2282,03-597,Targówek,ul. H. Sternhela,52.2841,21.057,"52.2841, 21.057",30
2283,03-561,Targówek,ul. Handlowa,52.2705,21.0569,"52.2705, 21.0569",31
2284,03-556,Targówek,ul. Handlowa,52.2729,21.0553,"52.2729, 21.0553",31
2285,03-678,Targówek,ul. Hebanowa,52.2787,21.0734,"52.2787, 21.0734",30
2286,03-666,Targówek,ul. Heloizy,52.2917,21.0637,"52.2917, 21.0637",30
2287,03-522,Targówek,ul. Horodelska,52.2726,21.0389,"52.2726, 21.0389",26
2288,03-791,Targówek,ul. Hutnicza,52.2653,21.07,"52.2653, 21.07",31
2289,03-657,Targówek,ul. I. Łukasiewicza,52.2895,21.0683,"52.2895, 21.0683",30
2290,03-506,Targówek,ul. II Rejonu AK,52.2687,21.0444,"52.2687, 21.0444",26
2291,03-696,Targówek,ul. J. i W. Kokoszków,52.2888,21.0779,"52.2888, 21.0779",30
2292,03-887,Targówek,ul. Janowiecka,52.2728,21.0844,"52.2728, 21.0844",31
2293,03-208,Targówek,ul. Jarosławska,52.294,21.0216,"52.294, 21.0216",29
2294,03-891,Targówek,ul. Jeleniogórska,52.2698,21.0837,"52.2698, 21.0837",31
2295,03-890,Targówek,ul. Jesiotrowa,52.273999999999994,21.0837,"52.273999999999994, 21.0837",31
2296,03-784,Targówek,ul. Józefowska,52.2637,21.065,"52.2637, 21.065",31
2297,03-338,Targówek,ul. Julianowska,52.2845,21.0293,"52.2845, 21.0293",29
2298,03-602,Targówek,ul. Karkonoska,52.2827,21.0655,"52.2827, 21.0655",30
2299,03-653,Targówek,ul. Kaśki Kariatydy,52.2891,21.0722,"52.2891, 21.0722",30
2300,03-685,Targówek,ul. Klamrowa,52.2873,21.095,"52.2873, 21.095",30
2301,03-797,Targówek,ul. Klementowicka,52.2677,21.0759,"52.2677, 21.0759",31
2302,03-892,Targówek,ul. Klukowska,52.272,21.0808,"52.272, 21.0808",31
2303,03-647,Targówek,ul. Knyszyńska,52.2911,21.0747,"52.2911, 21.0747",30
2304,03-646,Targówek,ul. Kolejarska,52.2902,21.0752,"52.2902, 21.0752",30
2305,03-536,Targówek,ul. Kołowa,52.273,21.0458,"52.273, 21.0458",26
2306,03-684,Targówek,ul. Konarowa,52.2861,21.0839,"52.2861, 21.0839",30
2307,03-687,Targówek,ul. Korsarska,52.2871,21.0857,"52.2871, 21.0857",30
2308,03-626,Targówek,ul. Korzystna,52.2886,21.0681,"52.2886, 21.0681",30
2309,03-640,Targówek,ul. Kościerska,52.2872,21.0732,"52.2872, 21.0732",30
2310,03-390,Targówek,ul. Krakusa,52.2902,21.0194,"52.2902, 21.0194",29
2311,03-379,Targówek,ul. Krasiczyńska,52.2966,21.0461,"52.2966, 21.0461",29
2312,03-214,Targówek,ul. Krasnobrodzka,52.2999,21.045,"52.2999, 21.045",29
2313,03-579,Targówek,ul. Kraśnicka,52.2732,21.0687,"52.2732, 21.0687",30
2314,03-601,Targówek,ul. Krośniewicka,52.2812,21.0639,"52.2812, 21.0639",30
2315,03-644,Targówek,ul. Krynoliny,52.2914,21.0771,"52.2914, 21.0771",30
2316,03-699,Targówek,ul. Krynoliny,52.2893,21.0822,"52.2893, 21.0822",30
2317,03-677,Targówek,ul. Krzesiwa,52.278,21.0751,"52.278, 21.0751",30
2318,03-889,Targówek,ul. Krzewna,52.2721,21.0869,"52.2721, 21.0869",31
2319,03-324,Targówek,ul. Krzywińska,52.2832,21.0302,"52.2832, 21.0302",29
2320,03-514,Targówek,ul. ks. P. Skargi,52.2666,21.0569,"52.2666, 21.0569",31
2321,03-516,Targówek,ul. ks. P. Skargi,52.2704,21.045,"52.2704, 21.045",26
2322,03-778,Targówek,ul. Księcia Ziemowita,52.2634,21.0628,"52.2634, 21.0628",31
2323,03-788,Targówek,ul. Księcia Ziemowita,52.2665,21.0689,"52.2665, 21.0689",31
2324,03-789,Targówek,ul. Księcia Ziemowita,52.2656,21.0683,"52.2656, 21.0683",31
2325,03-885,Targówek,ul. Księcia Ziemowita,52.2699,21.0768,"52.2699, 21.0768",31
